r_A,g_r
6.168171763420104980e-03,0.000000000000000000e+00
1.850451529026031494e-02,0.000000000000000000e+00
3.084085881710052490e-02,0.000000000000000000e+00
4.317720234394074180e-02,0.000000000000000000e+00
5.551354587078094482e-02,0.000000000000000000e+00
6.784988939762115479e-02,0.000000000000000000e+00
8.018623292446136475e-02,0.000000000000000000e+00
9.252257645130157471e-02,0.000000000000000000e+00
1.048589199781417847e-01,0.000000000000000000e+00
1.171952635049820085e-01,0.000000000000000000e+00
1.295316070318222046e-01,0.000000000000000000e+00
1.418679505586624146e-01,0.000000000000000000e+00
1.542042940855026523e-01,0.000000000000000000e+00
1.665406376123428345e-01,0.000000000000000000e+00
1.788769811391830444e-01,0.000000000000000000e+00
1.912133246660232544e-01,0.000000000000000000e+00
2.035496681928634921e-01,0.000000000000000000e+00
2.158860117197036743e-01,0.000000000000000000e+00
2.282223552465438843e-01,0.000000000000000000e+00
2.405586987733840942e-01,0.000000000000000000e+00
2.528950423002243042e-01,0.000000000000000000e+00
2.652313858270645142e-01,0.000000000000000000e+00
2.775677293539047241e-01,0.000000000000000000e+00
2.899040728807449896e-01,0.000000000000000000e+00
3.022404164075851440e-01,0.000000000000000000e+00
3.145767599344254095e-01,0.000000000000000000e+00
3.269131034612655640e-01,0.000000000000000000e+00
3.392494469881057739e-01,0.000000000000000000e+00
3.515857905149459839e-01,0.000000000000000000e+00
3.639221340417861938e-01,0.000000000000000000e+00
3.762584775686264593e-01,0.000000000000000000e+00
3.885948210954666138e-01,0.000000000000000000e+00
4.009311646223068237e-01,0.000000000000000000e+00
4.132675081491470337e-01,0.000000000000000000e+00
4.256038516759872437e-01,0.000000000000000000e+00
4.379401952028275091e-01,0.000000000000000000e+00
4.502765387296676636e-01,0.000000000000000000e+00
4.626128822565078735e-01,0.000000000000000000e+00
4.749492257833480835e-01,0.000000000000000000e+00
4.872855693101882935e-01,0.000000000000000000e+00
4.996219128370285589e-01,0.000000000000000000e+00
5.119582563638687134e-01,0.000000000000000000e+00
5.242945998907089233e-01,0.000000000000000000e+00
5.366309434175491333e-01,0.000000000000000000e+00
5.489672869443893433e-01,0.000000000000000000e+00
5.613036304712295532e-01,0.000000000000000000e+00
5.736399739980697632e-01,0.000000000000000000e+00
5.859763175249099731e-01,0.000000000000000000e+00
5.983126610517501831e-01,0.000000000000000000e+00
6.106490045785903931e-01,0.000000000000000000e+00
6.229853481054306030e-01,0.000000000000000000e+00
6.353216916322708130e-01,0.000000000000000000e+00
6.476580351591110229e-01,0.000000000000000000e+00
6.599943786859513439e-01,0.000000000000000000e+00
6.723307222127914429e-01,0.000000000000000000e+00
6.846670657396316528e-01,0.000000000000000000e+00
6.970034092664718628e-01,0.000000000000000000e+00
7.093397527933120728e-01,0.000000000000000000e+00
7.216760963201523937e-01,0.000000000000000000e+00
7.340124398469924927e-01,0.000000000000000000e+00
7.463487833738327026e-01,0.000000000000000000e+00
7.586851269006729126e-01,0.000000000000000000e+00
7.710214704275131226e-01,0.000000000000000000e+00
7.833578139543534435e-01,0.000000000000000000e+00
7.956941574811935425e-01,0.000000000000000000e+00
8.080305010080337524e-01,0.000000000000000000e+00
8.203668445348739624e-01,0.000000000000000000e+00
8.327031880617141724e-01,0.000000000000000000e+00
8.450395315885544933e-01,0.000000000000000000e+00
8.573758751153945923e-01,0.000000000000000000e+00
8.697122186422348022e-01,0.000000000000000000e+00
8.820485621690750122e-01,0.000000000000000000e+00
8.943849056959152222e-01,0.000000000000000000e+00
