model,model_display,timing_mode,system,temperature_K,n_steps,elapsed_seconds,seconds_per_step,milliseconds_per_step,engine,source_file,n_atoms,structure_source_file
orb-v2,ORB-v2,Standard,anthracene_293K_Sharma_S,293.0,16000,250.32,0.015645,15.645,torch-sim-0.6.1,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/anthracene_293K_Sharma_S/md_timing_orb-v2.csv,48,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/anthracene_293K_Sharma_S/nvt_orb-v2.h5
orb-v2,ORB-v2,Standard,tetracene_295K_Sharma_S,295.0,16000,252.87,0.015805,15.805,torch-sim-0.6.1,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/tetracene_295K_Sharma_S/md_timing_orb-v2.csv,60,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/tetracene_295K_Sharma_S/nvt_orb-v2.h5
orb-v2,ORB-v2,Standard,pentacene_295K_Sharma_S,295.0,15579,252.86,0.016231,16.230999999999998,torch-sim-0.6.1,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/pentacene_295K_Sharma_S/md_timing_orb-v2.csv,72,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/pentacene_295K_Sharma_S/nvt_orb-v2.h5
orb-v2,ORB-v2,Standard,picene_295K_Sharma_S,295.0,14151,229.04,0.016186,16.186,torch-sim-0.6.1,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/picene_295K_Sharma_S/md_timing_orb-v2.csv,72,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/picene_295K_Sharma_S/nvt_orb-v2.h5
orb-v2,ORB-v2,Standard,MAPbBr3_300K_Ivor_VASP,300.0,60000,999.7,0.016662,16.662,torch-sim-0.6.1,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/MAPbBr3_300K_Ivor_VASP/md_timing_orb-v2.csv,96,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/MAPbBr3_300K_Ivor_VASP/nvt_orb-v2.h5
orb-v2,ORB-v2,Standard,bulkMoS2_300K_NO-VdW_J.Kioseoglou_VASP,300.0,20000,317.42,0.015871,15.871,torch-sim-0.6.1,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/bulkMoS2_300K_NO-VdW_J.Kioseoglou_VASP/md_timing_orb-v2.csv,96,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/bulkMoS2_300K_NO-VdW_J.Kioseoglou_VASP/nvt_orb-v2.h5
orb-v2,ORB-v2,Standard,Pt111w24H2O_380K_Heenen_VASP,380.0,3843,65.56,0.017059,17.059,torch-sim-0.6.1,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/Pt111w24H2O_380K_Heenen_VASP/md_timing_orb-v2.csv,108,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/Pt111w24H2O_380K_Heenen_VASP/nvt_orb-v2.h5
orb-v2,ORB-v2,Standard,TiSe2_400K_Ivor_VASP,400.0,14716,251.36,0.017081,17.081,torch-sim-0.6.1,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/TiSe2_400K_Ivor_VASP/md_timing_orb-v2.csv,108,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/TiSe2_400K_Ivor_VASP/nvt_orb-v2.h5
orb-v2,ORB-v2,Standard,bulkAg_600K_Kapil,600.0,24881,428.28,0.017213,17.212999999999997,torch-sim-0.6.1,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/bulkAg_600K_Kapil/md_timing_orb-v2.csv,108,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/bulkAg_600K_Kapil/nvt_orb-v2.h5
orb-v2,ORB-v2,Standard,bulkCu_1000K_Kapil,1000.0,36007,619.21,0.017197,17.197,torch-sim-0.6.1,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/bulkCu_1000K_Kapil/md_timing_orb-v2.csv,108,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/bulkCu_1000K_Kapil/nvt_orb-v2.h5
orb-v2,ORB-v2,Standard,bulkPt3Co_300K_J.Kioseoglou_VASP,300.0,20927,357.18,0.017068,17.068,torch-sim-0.6.1,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/bulkPt3Co_300K_J.Kioseoglou_VASP/md_timing_orb-v2.csv,108,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/bulkPt3Co_300K_J.Kioseoglou_VASP/nvt_orb-v2.h5
orb-v2,ORB-v2,Standard,bulkCuAu_500K-Artrith_VASP,500.0,1105,19.11,0.017296,17.296,torch-sim-0.6.1,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/bulkCuAu_500K-Artrith_VASP/md_timing_orb-v2.csv,128,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/bulkCuAu_500K-Artrith_VASP/nvt_orb-v2.h5
orb-v2,ORB-v2,Standard,CsSnI3_500K_Ivor_VASP,500.0,14758,251.89,0.017068,17.068,torch-sim-0.6.1,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/CsSnI3_500K_Ivor_VASP/md_timing_orb-v2.csv,135,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/CsSnI3_500K_Ivor_VASP/nvt_orb-v2.h5
orb-v2,ORB-v2,Standard,naphthalene_295K_Sharma_S,295.0,7557,142.28,0.018828,18.828,torch-sim-0.6.1,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/naphthalene_295K_Sharma_S/md_timing_orb-v2.csv,144,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/naphthalene_295K_Sharma_S/nvt_orb-v2.h5
orb-v2,ORB-v2,Standard,bulkCuZrAl_1500K_A.Wadowski-J.Schmidt_VASP,1500.0,2718,51.35,0.018893,18.893,torch-sim-0.6.1,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/bulkCuZrAl_1500K_A.Wadowski-J.Schmidt_VASP/md_timing_orb-v2.csv,150,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/bulkCuZrAl_1500K_A.Wadowski-J.Schmidt_VASP/nvt_orb-v2.h5
orb-v2,ORB-v2,Standard,bulkAu_1500K_Kapil,1500.0,20162,406.19,0.020147,20.147000000000002,torch-sim-0.6.1,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/bulkAu_1500K_Kapil/md_timing_orb-v2.csv,192,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/bulkAu_1500K_Kapil/nvt_orb-v2.h5
orb-v2,ORB-v2,Standard,bulkLiMgAlZnSn_600K_J_Schmidt_VASP,600.0,3015,98.09,0.032532,32.532,torch-sim-0.6.1,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/bulkLiMgAlZnSn_600K_J_Schmidt_VASP/md_timing_orb-v2.csv,500,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/bulkLiMgAlZnSn_600K_J_Schmidt_VASP/nvt_orb-v2.h5
orb-v2,ORB-v2,Standard,bulkLiMgAlZnSn_900K_J_Schmidt_VASP,900.0,2181,70.62,0.032379,32.379,torch-sim-0.6.1,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/bulkLiMgAlZnSn_900K_J_Schmidt_VASP/md_timing_orb-v2.csv,500,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/bulkLiMgAlZnSn_900K_J_Schmidt_VASP/nvt_orb-v2.h5
orb-v2,ORB-v2,Standard,H_1050K_Rupp_QE,1050.0,1784,59.84,0.033544,33.544,torch-sim-0.6.1,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/H_1050K_Rupp_QE/md_timing_orb-v2.csv,512,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/H_1050K_Rupp_QE/nvt_orb-v2.h5
orb-v3,ORB-v3 conservative,Standard,anthracene_293K_Sharma_S,293.0,44000,1368.98,0.031113,31.113,torch-sim-0.6.1,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/anthracene_293K_Sharma_S/md_timing_orb-v3.csv,48,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/anthracene_293K_Sharma_S/nvt_orb-v3.h5
orb-v3,ORB-v3 conservative,Standard,tetracene_295K_Sharma_S,295.0,44000,1556.23,0.035369,35.369,torch-sim-0.6.1,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/tetracene_295K_Sharma_S/md_timing_orb-v3.csv,60,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/tetracene_295K_Sharma_S/nvt_orb-v3.h5
orb-v3,ORB-v3 conservative,Standard,pentacene_295K_Sharma_S,295.0,44000,1630.02,0.037046,37.046,torch-sim-0.6.1,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/pentacene_295K_Sharma_S/md_timing_orb-v3.csv,72,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/pentacene_295K_Sharma_S/nvt_orb-v3.h5
orb-v3,ORB-v3 conservative,Standard,picene_295K_Sharma_S,295.0,44000,1652.35,0.037554,37.553999999999995,torch-sim-0.6.1,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/picene_295K_Sharma_S/md_timing_orb-v3.csv,72,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/picene_295K_Sharma_S/nvt_orb-v3.h5
orb-v3,ORB-v3 conservative,Standard,MAPbBr3_300K_Ivor_VASP,300.0,44000,1350.45,0.030692,30.692,torch-sim-0.6.1,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/MAPbBr3_300K_Ivor_VASP/md_timing_orb-v3.csv,96,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/MAPbBr3_300K_Ivor_VASP/nvt_orb-v3.h5
orb-v3,ORB-v3 conservative,Standard,bulkMoS2_300K_NO-VdW_J.Kioseoglou_VASP,300.0,22000,679.46,0.030884,30.884,torch-sim-0.6.1,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/bulkMoS2_300K_NO-VdW_J.Kioseoglou_VASP/md_timing_orb-v3.csv,96,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/bulkMoS2_300K_NO-VdW_J.Kioseoglou_VASP/nvt_orb-v3.h5
orb-v3,ORB-v3 conservative,Standard,Pt111w24H2O_380K_Heenen_VASP,380.0,22000,810.67,0.036849,36.849,torch-sim-0.6.1,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/Pt111w24H2O_380K_Heenen_VASP/md_timing_orb-v3.csv,108,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/Pt111w24H2O_380K_Heenen_VASP/nvt_orb-v3.h5
orb-v3,ORB-v3 conservative,Standard,TiSe2_400K_Ivor_VASP,400.0,22000,584.02,0.026546,26.546,torch-sim-0.6.1,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/TiSe2_400K_Ivor_VASP/md_timing_orb-v3.csv,108,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/TiSe2_400K_Ivor_VASP/nvt_orb-v3.h5
orb-v3,ORB-v3 conservative,Standard,bulkAg_600K_Kapil,600.0,22000,787.1,0.035777,35.777,torch-sim-0.6.1,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/bulkAg_600K_Kapil/md_timing_orb-v3.csv,108,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/bulkAg_600K_Kapil/nvt_orb-v3.h5
orb-v3,ORB-v3 conservative,Standard,bulkCu_1000K_Kapil,1000.0,22000,912.7,0.041486,41.486000000000004,torch-sim-0.6.1,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/bulkCu_1000K_Kapil/md_timing_orb-v3.csv,108,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/bulkCu_1000K_Kapil/nvt_orb-v3.h5
orb-v3,ORB-v3 conservative,Standard,bulkPt3Co_300K_J.Kioseoglou_VASP,300.0,22000,798.91,0.036314,36.314,torch-sim-0.6.1,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/bulkPt3Co_300K_J.Kioseoglou_VASP/md_timing_orb-v3.csv,108,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/bulkPt3Co_300K_J.Kioseoglou_VASP/nvt_orb-v3.h5
orb-v3,ORB-v3 conservative,Standard,bulkCuAu_500K-Artrith_VASP,500.0,22000,903.7,0.041077,41.077000000000005,torch-sim-0.6.1,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/bulkCuAu_500K-Artrith_VASP/md_timing_orb-v3.csv,128,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/bulkCuAu_500K-Artrith_VASP/nvt_orb-v3.h5
orb-v3,ORB-v3 conservative,Standard,CsSnI3_500K_Ivor_VASP,500.0,22000,529.02,0.024047,24.047,torch-sim-0.6.1,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/CsSnI3_500K_Ivor_VASP/md_timing_orb-v3.csv,135,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/CsSnI3_500K_Ivor_VASP/nvt_orb-v3.h5
orb-v3,ORB-v3 conservative,Standard,naphthalene_295K_Sharma_S,295.0,44000,2515.74,0.057176,57.175999999999995,torch-sim-0.6.1,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/naphthalene_295K_Sharma_S/md_timing_orb-v3.csv,144,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/naphthalene_295K_Sharma_S/nvt_orb-v3.h5
orb-v3,ORB-v3 conservative,Standard,bulkCuZrAl_1500K_A.Wadowski-J.Schmidt_VASP,1500.0,22000,992.99,0.045136,45.136,torch-sim-0.6.1,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/bulkCuZrAl_1500K_A.Wadowski-J.Schmidt_VASP/md_timing_orb-v3.csv,150,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/bulkCuZrAl_1500K_A.Wadowski-J.Schmidt_VASP/nvt_orb-v3.h5
orb-v3,ORB-v3 conservative,Standard,bulkAu_1500K_Kapil,1500.0,22000,1046.14,0.047552,47.552,torch-sim-0.6.1,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/bulkAu_1500K_Kapil/md_timing_orb-v3.csv,192,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/bulkAu_1500K_Kapil/nvt_orb-v3.h5
orb-v3,ORB-v3 conservative,Standard,bulkLiMgAlZnSn_600K_J_Schmidt_VASP,600.0,22000,1965.04,0.08932,89.32,torch-sim-0.6.1,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/bulkLiMgAlZnSn_600K_J_Schmidt_VASP/md_timing_orb-v3.csv,500,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/bulkLiMgAlZnSn_600K_J_Schmidt_VASP/nvt_orb-v3.h5
orb-v3,ORB-v3 conservative,Standard,bulkLiMgAlZnSn_900K_J_Schmidt_VASP,900.0,22000,1962.93,0.089224,89.224,torch-sim-0.6.1,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/bulkLiMgAlZnSn_900K_J_Schmidt_VASP/md_timing_orb-v3.csv,500,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/bulkLiMgAlZnSn_900K_J_Schmidt_VASP/nvt_orb-v3.h5
orb-v3,ORB-v3 conservative,Standard,H_1050K_Rupp_QE,1050.0,110000,23740.35,0.215821,215.82100000000003,torch-sim-0.6.1,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/H_1050K_Rupp_QE/md_timing_orb-v3.csv,512,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/H_1050K_Rupp_QE/nvt_orb-v3.h5
orb-v3-direct,ORB-v3 direct,Standard,anthracene_293K_Sharma_S,293.0,16000,251.04,0.01569,15.69,torch-sim-0.6.1,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/anthracene_293K_Sharma_S/md_timing_orb-v3-direct.csv,48,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/anthracene_293K_Sharma_S/nvt_orb-v3-direct.h5
orb-v3-direct,ORB-v3 direct,Standard,tetracene_295K_Sharma_S,295.0,16000,279.67,0.017479,17.479000000000003,torch-sim-0.6.1,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/tetracene_295K_Sharma_S/md_timing_orb-v3-direct.csv,60,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/tetracene_295K_Sharma_S/nvt_orb-v3-direct.h5
orb-v3-direct,ORB-v3 direct,Standard,pentacene_295K_Sharma_S,295.0,15579,277.03,0.017782,17.782,torch-sim-0.6.1,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/pentacene_295K_Sharma_S/md_timing_orb-v3-direct.csv,72,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/pentacene_295K_Sharma_S/nvt_orb-v3-direct.h5
orb-v3-direct,ORB-v3 direct,Standard,picene_295K_Sharma_S,295.0,14151,251.11,0.017745,17.745,torch-sim-0.6.1,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/picene_295K_Sharma_S/md_timing_orb-v3-direct.csv,72,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/picene_295K_Sharma_S/nvt_orb-v3-direct.h5
orb-v3-direct,ORB-v3 direct,Standard,MAPbBr3_300K_Ivor_VASP,300.0,60000,1029.06,0.017151,17.151,torch-sim-0.6.1,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/MAPbBr3_300K_Ivor_VASP/md_timing_orb-v3-direct.csv,96,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/MAPbBr3_300K_Ivor_VASP/nvt_orb-v3-direct.h5
orb-v3-direct,ORB-v3 direct,Standard,bulkMoS2_300K_NO-VdW_J.Kioseoglou_VASP,300.0,20000,313.45,0.015673,15.673,torch-sim-0.6.1,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/bulkMoS2_300K_NO-VdW_J.Kioseoglou_VASP/md_timing_orb-v3-direct.csv,96,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/bulkMoS2_300K_NO-VdW_J.Kioseoglou_VASP/nvt_orb-v3-direct.h5
orb-v3-direct,ORB-v3 direct,Standard,Pt111w24H2O_380K_Heenen_VASP,380.0,3843,71.74,0.018668,18.668,torch-sim-0.6.1,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/Pt111w24H2O_380K_Heenen_VASP/md_timing_orb-v3-direct.csv,108,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/Pt111w24H2O_380K_Heenen_VASP/nvt_orb-v3-direct.h5
orb-v3-direct,ORB-v3 direct,Standard,TiSe2_400K_Ivor_VASP,400.0,14716,265.44,0.018038,18.037999999999997,torch-sim-0.6.1,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/TiSe2_400K_Ivor_VASP/md_timing_orb-v3-direct.csv,108,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/TiSe2_400K_Ivor_VASP/nvt_orb-v3-direct.h5
orb-v3-direct,ORB-v3 direct,Standard,bulkAg_600K_Kapil,600.0,24881,431.13,0.017328,17.328,torch-sim-0.6.1,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/bulkAg_600K_Kapil/md_timing_orb-v3-direct.csv,108,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/bulkAg_600K_Kapil/nvt_orb-v3-direct.h5
orb-v3-direct,ORB-v3 direct,Standard,bulkCu_1000K_Kapil,1000.0,36007,652.49,0.018121,18.121000000000002,torch-sim-0.6.1,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/bulkCu_1000K_Kapil/md_timing_orb-v3-direct.csv,108,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/bulkCu_1000K_Kapil/nvt_orb-v3-direct.h5
orb-v3-direct,ORB-v3 direct,Standard,bulkPt3Co_300K_J.Kioseoglou_VASP,300.0,20927,346.71,0.016568,16.567999999999998,torch-sim-0.6.1,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/bulkPt3Co_300K_J.Kioseoglou_VASP/md_timing_orb-v3-direct.csv,108,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/bulkPt3Co_300K_J.Kioseoglou_VASP/nvt_orb-v3-direct.h5
orb-v3-direct,ORB-v3 direct,Standard,bulkCuAu_500K-Artrith_VASP,500.0,1105,20.31,0.018384,18.384,torch-sim-0.6.1,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/bulkCuAu_500K-Artrith_VASP/md_timing_orb-v3-direct.csv,128,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/bulkCuAu_500K-Artrith_VASP/nvt_orb-v3-direct.h5
orb-v3-direct,ORB-v3 direct,Standard,CsSnI3_500K_Ivor_VASP,500.0,14758,262.48,0.017786,17.786,torch-sim-0.6.1,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/CsSnI3_500K_Ivor_VASP/md_timing_orb-v3-direct.csv,135,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/CsSnI3_500K_Ivor_VASP/nvt_orb-v3-direct.h5
orb-v3-direct,ORB-v3 direct,Standard,naphthalene_295K_Sharma_S,295.0,7557,137.72,0.018224,18.224,torch-sim-0.6.1,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/naphthalene_295K_Sharma_S/md_timing_orb-v3-direct.csv,144,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/naphthalene_295K_Sharma_S/nvt_orb-v3-direct.h5
orb-v3-direct,ORB-v3 direct,Standard,bulkCuZrAl_1500K_A.Wadowski-J.Schmidt_VASP,1500.0,2718,52.53,0.019326,19.326,torch-sim-0.6.1,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/bulkCuZrAl_1500K_A.Wadowski-J.Schmidt_VASP/md_timing_orb-v3-direct.csv,150,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/bulkCuZrAl_1500K_A.Wadowski-J.Schmidt_VASP/nvt_orb-v3-direct.h5
orb-v3-direct,ORB-v3 direct,Standard,bulkAu_1500K_Kapil,1500.0,20162,396.27,0.019654,19.654,torch-sim-0.6.1,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/bulkAu_1500K_Kapil/md_timing_orb-v3-direct.csv,192,/home/mjgawkowski/Finite-Temperature-MLIP-Benchmark/paper_v2_configs/data/mlip-trajs-torchsim/bulkAu_1500K_Kapil/nvt_orb-v3-direct.h5
